Collab_Teach_Rtg,Curr_Int_Chg,Teach_Learn_Eff,Ass_Stu_Learn
Meeting Target,3,4,3
Meeting Target,3,3,3
Meeting Target,3,2,3
Meeting Target,3,3,4
Approaching Target,3,3,3
Meeting Target,3,3,3
Meeting Target,3,2,3
Exceeding Target,3,4,4
Meeting Target,3,3,3
Meeting Target,3,3,3
Meeting Target,3,2,3
Meeting Target,4,3,3
Meeting Target,3,3,3
Exceeding Target,4,3,4
Exceeding Target,4,3,4
Meeting Target,3,3,3
Approaching Target,3,3,3
Exceeding Target,3,2,3
Meeting Target,3,2,3
Exceeding Target,4,3,4
Meeting Target,3,3,3
Exceeding Target,3,3,3
Approaching Target,3,3,2
Meeting Target,3,3,3
Meeting Target,4,4,3
Meeting Target,2,2,2
Meeting Target,3,4,4
Meeting Target,3,4,4
Meeting Target,3,3,3
Meeting Target,3,2,3
Meeting Target,3,3,3
Exceeding Target,3,3,3
Exceeding Target,4,4,3
Meeting Target,4,4,3
Meeting Target,3,3,3
Exceeding Target,4,3,3
Meeting Target,4,3,3
Meeting Target,3,3,2
Exceeding Target,4,3,3
Meeting Target,3,3,3
Exceeding Target,3,3,3
Exceeding Target,4,3,3
Exceeding Target,3,3,4
Approaching Target,3,3,4
Meeting Target,4,3,3
Exceeding Target,4,3,3
Exceeding Target,4,4,3
Exceeding Target,4,3,4
Meeting Target,3,3,3
Exceeding Target,3,4,3
Meeting Target,3,3,3
Exceeding Target,4,3,4
Meeting Target,4,3,3
Approaching Target,3,2,2
Exceeding Target,3,3,3
Meeting Target,3,3,3
Exceeding Target,4,4,4
Meeting Target,3,2,2
Meeting Target,3,3,4
Meeting Target,2,2,2
Exceeding Target,4,3,4
Exceeding Target,4,3,4
Exceeding Target,4,4,4
Exceeding Target,3,3,3
Exceeding Target,4,3,4
Meeting Target,4,3,4
Exceeding Target,4,3,4
Exceeding Target,3,3,3
Approaching Target,3,3,3
Meeting Target,3,2,3
Meeting Target,3,2,3
Meeting Target,3,3,3
Exceeding Target,4,3,3
Exceeding Target,3,3,3
Meeting Target,3,3,3
Exceeding Target,3,3,3
Meeting Target,2,2,3
Exceeding Target,3,2,3
Exceeding Target,4,3,3
Meeting Target,3,3,3
Meeting Target,2,2,2
Meeting Target,4,3,3
Exceeding Target,4,4,4
Exceeding Target,4,3,4
Meeting Target,3,3,3
Meeting Target,3,3,3
Meeting Target,3,2,2
Exceeding Target,4,4,4
Meeting Target,3,2,3
Approaching Target,2,2,2
Exceeding Target,4,3,4
Meeting Target,3,3,3
Exceeding Target,4,3,4
Approaching Target,2,2,2
Exceeding Target,3,3,3
Meeting Target,3,2,2
Meeting Target,3,3,3
Exceeding Target,4,3,4
Exceeding Target,3,3,3
Exceeding Target,3,3,3
Exceeding Target,3,3,3
Meeting Target,4,3,3
Meeting Target,3,3,2
Meeting Target,3,3,4
Meeting Target,3,3,3
Exceeding Target,4,3,4
Exceeding Target,4,4,3
Exceeding Target,3,3,3
Meeting Target,4,4,4
Approaching Target,3,2,2
Meeting Target,3,3,3
Exceeding Target,4,3,4
Meeting Target,2,2,2
Exceeding Target,4,4,4
Exceeding Target,4,3,3
Exceeding Target,3,3,3
Meeting Target,2,2,2
Meeting Target,4,3,4
Meeting Target,3,3,3
Exceeding Target,3,3,3
Exceeding Target,3,3,3
Exceeding Target,3,3,3
Meeting Target,4,3,3
Meeting Target,3,3,3
Exceeding Target,3,3,4
Meeting Target,3,3,3
Exceeding Target,4,3,3
Exceeding Target,3,3,4
Meeting Target,3,3,3
Exceeding Target,4,3,3
Meeting Target,2,2,2
Exceeding Target,4,3,3
Approaching Target,3,3,3
Exceeding Target,3,4,4
Meeting Target,4,3,3
